"intervalo_10min","Tª","Humedad","PM1.0","PM2.5","PM10.0","VOC","CH2O","CO2","CO","O3","NO2","Hora","Minuto","Segundo","modid","fecha"
2024-04-20,10.0615384615385,70,17.2307692307692,21.8461538461538,24,0,0.015,419,0.5,0.02,10,0,6.23076923076923,16.1538461538462,10,2024-04-20
2024-04-20 00:10:00,9.885,69.25,18.85,23.8,25.8,0,0.015,420.4,0.5,0.02,10,0,14.5,15,10,2024-04-20
2024-04-20 00:20:00,9.64,70,18.4,23.25,25.3,0,0.015,421.1,0.5,0.02,10,0,24.5,15,10,2024-04-20
2024-04-20 00:30:00,9.44,70.3,18.5,23.5,25.5,0,0.015,421.9,0.5,0.02,10,0,34.5,15,10,2024-04-20
2024-04-20 00:40:00,9.285,70.55,21.6,26.5,29.25,0,0.015,424.8,0.5,0.02,10,0,44.5,15,10,2024-04-20
2024-04-20 00:50:00,9.19,71,21.9,26.9,29.65,0,0.015,427.3,0.5,0.02,10,0,54.5,15,10,2024-04-20
2024-04-20 01:00:00,9.04,71.15,18.95,23.9,25.9,0,0.015,426.8,0.5,0.02,10,1,4.5,15,10,2024-04-20
2024-04-20 01:10:00,8.915,71.7,19.9,24.7,26.8,0,0.015,431.3,0.5,0.02,10,1,14.5,15,10,2024-04-20
2024-04-20 01:20:00,8.795,72.3,19.75,24.5,26.55,0,0.015,431.4,0.5,0.02,10,1,24.5,15,10,2024-04-20
2024-04-20 01:30:00,8.76,71.3,19.15,24.15,26.15,0,0.015,444.1,0.5,0.02,10,1,34.5,15,10,2024-04-20
2024-04-20 01:40:00,8.585,71.55,18.05,23.05,25.05,0,0.015,442.95,0.5,0.02,9.851,1,44.5,15,10,2024-04-20
2024-04-20 01:50:00,8.325,72.15,18.6,23.6,25.6,0,0.015,443.4,0.5,0.02,9.731,1,54.5,15,10,2024-04-20
2024-04-20 02:00:00,8.18,72,18.65,23.6,25.6,0,0.015,440.8,0.5,0.02,10,2,4.5,15,10,2024-04-20
