"intervalo_10min","Tª","Humedad","PM1.0","PM2.5","PM10.0","VOC","CH2O","CO2","CO","O3","NO2","Hora","Minuto","Segundo","modid","fecha"
2024-04-20,10.0384615384615,69,16.2307692307692,19.5384615384615,22.2307692307692,0,0.016,446.923076923077,0.5,0.02,10,0,6.23076923076923,16.1538461538462,7,2024-04-20
2024-04-20 00:10:00,9.79,69,17.8,22.55,24.65,0,0.016,446,0.5,0.02,10,0,14.5,15,7,2024-04-20
2024-04-20 00:20:00,9.595,69,17.2,21.55,23.85,0,0.016,448.7,0.5,0.02,10,0,24.5,15,7,2024-04-20
2024-04-20 00:30:00,9.445,69.6,17.15,21.25,23.65,0,0.016,450.85,0.5,0.02,10,0,34.5,15,7,2024-04-20
2024-04-20 00:40:00,9.3,70,21.1,25.9,28.5,0,0.016,451.25,0.5,0.02,10,0,44.5,15,7,2024-04-20
2024-04-20 00:50:00,9.21,70,20.95,25.8,28.6,0,0.016,453.6,0.5,0.02,10,0,54.5,15,7,2024-04-20
2024-04-20 01:00:00,9.115,70,18.45,23.4,25.4,0,0.016,455.6,0.5,0.02,10,1,4.5,15,7,2024-04-20
2024-04-20 01:10:00,9.1,70.45,18.95,23.7,25.75,0,0.016,457.3,0.5,0.02,10,1,14.5,15,7,2024-04-20
2024-04-20 01:20:00,9.08,70.5,17.35,22,24.1,0,0.016,457.15,0.5,0.02,10,1,24.5,15,7,2024-04-20
2024-04-20 01:30:00,8.885,70,17.7,21.95,24.3,0,0.016,464.7,0.5,0.02,10,1,34.5,15,7,2024-04-20
2024-04-20 01:40:00,8.68,70.55,17.6,22.3,24.45,0,0.016,461.2,0.5,0.02,10,1,44.5,15,7,2024-04-20
2024-04-20 01:50:00,8.545,70.95,17.8,22.65,24.7,0,0.016,461.5,0.5,0.02,10,1,54.5,15,7,2024-04-20
2024-04-20 02:00:00,8.425,70.9,17.75,22.55,24.65,0,0.016,459.7,0.5,0.02,10,2,4.5,15,7,2024-04-20
2024-04-20 02:10:00,8.25,70.9,17.45,21.9,24.15,0,0.016,462.4,0.5,0.02,10,2,14.5,15,7,2024-04-20
2024-04-20 02:20:00,8.045,71.45,17.5,22.3,24.35,0,0.0161,464.05,0.5,0.02,10,2,24.5,15,7,2024-04-20
2024-04-20 02:30:00,7.9,72.45,17.85,22.8,24.8,0,0.017,462.4,0.5,0.02,10,2,34.5,15,7,2024-04-20
2024-04-20 02:40:00,7.85,71.85,17.2,22,24.1,0,0.01655,469.65,0.5,0.02,10,2,44.5,15,7,2024-04-20
2024-04-20 02:50:00,7.555,71.7,18,23,25,0,0.01705,465.45,0.5,0.02,10,2,54.5,15,7,2024-04-20
2024-04-20 03:00:00,7.495,73,17.75,22.75,24.75,0,0.01745,464.55,0.5,0.02,10,3,4.5,15,7,2024-04-20
2024-04-20 03:10:00,7.46,73,18.45,23.35,25.4,0,0.0173,468.6,0.5,0.02,10,3,14.5,15,7,2024-04-20
2024-04-20 03:20:00,7.335,72.35,17.9,22.9,24.9,0,0.017,472.8,0.5,0.02,10,3,24.5,15,7,2024-04-20
2024-04-20 03:30:00,7.23,72.95,18.05,23.05,25.05,0,0.017,467.25,0.5,0.02,10,3,34.5,15,7,2024-04-20
2024-04-20 03:40:00,7.255,71.35,18,22.9,24.95,0,0.016,459.45,0.5,0.02,10,3,44.5,15,7,2024-04-20
2024-04-20 03:50:00,7.23,71,19.65,24.5,26.55,0,0.016,457.8,0.5,0.02,10,3,54.5,15,7,2024-04-20
2024-04-20 04:00:00,7.145,71,20.9,25.5,27.85,0,0.016,456.4,0.5,0.02,10,4,4.5,15,7,2024-04-20
2024-04-20 04:10:00,7.06,71,21.4,25.85,28.3,0,0.016,456.25,0.5,0.02,10,4,14.5,15,7,2024-04-20
2024-04-20 04:20:00,6.97,71.65,22.05,26.75,29.75,0,0.016,454.05,0.5,0.02,10,4,24.5,15,7,2024-04-20
2024-04-20 04:30:00,6.885,71.75,21.8,26.7,29.55,0,0.016,455.6,0.5,0.02,10,4,34.5,15,7,2024-04-20
2024-04-20 04:40:00,6.83,71.7,21.35,26,28.65,0,0.016,457.15,0.5,0.02,10,4,44.5,15,7,2024-04-20
2024-04-20 04:50:00,6.755,71.9,21.6,26.2,28.95,0,0.016,455.35,0.5,0.02,10,4,54.5,15,7,2024-04-20
2024-04-20 05:00:00,6.625,72,21.3,25.8,28.05,0,0.016,452.6,0.5,0.02,10,5,4.5,15,7,2024-04-20
2024-04-20 05:10:00,6.49,72,21.5,26.15,28.8,0,0.016,455.75,0.5,0.02,10,5,14.5,15,7,2024-04-20
2024-04-20 05:20:00,6.275,72.2,21.1,25.95,28.4,0,0.016,455.95,0.5,0.02,10,5,24.5,15,7,2024-04-20
2024-04-20 05:30:00,6.285,72.3,21.4,25.95,28.4,0,0.016,456.35,0.5,0.02,10,5,34.5,15,7,2024-04-20
2024-04-20 05:40:00,6.285,72.2,19.9,24.65,26.65,0,0.01605,460.45,0.5,0.02,10,5,44.5,15,7,2024-04-20
2024-04-20 05:50:00,6.045,72.65,20.25,25,27.05,0,0.016,460.25,0.5,0.02,10,5,54.5,15,7,2024-04-20
2024-04-20 06:00:00,5.915,72.85,19.2,24.15,26.15,0,0.016,451.9,0.5,0.02,10,6,4.5,15,7,2024-04-20
2024-04-20 06:10:00,5.91,72.7,18.75,23.7,25.7,0,0.016,451.7,0.5,0.02,10,6,14.5,15,7,2024-04-20
2024-04-20 06:20:00,5.935,72.85,19.9,24.65,26.75,0,0.016,455.4,0.5,0.02,10,6,24.5,15,7,2024-04-20
2024-04-20 06:30:00,5.99,72.35,20.1,24.85,26.95,0,0.016,460.45,0.5,0.02,10,6,34.5,15,7,2024-04-20
2024-04-20 06:40:00,6.105,71.95,20.8,25.25,27.3,0,0.016,464,0.5,0.02,10,6,44.5,15,7,2024-04-20
2024-04-20 06:50:00,6.37,71.15,21.3,26,28.5,0.2,0.016,467.7,0.5,0.02,10,6,54.5,15,7,2024-04-20
2024-04-20 07:00:00,7.505,69.35,20.45,25,27.05,2.4,0.0164,452.55,0.5,0.02,10,7,4.5,15,7,2024-04-20
2024-04-20 07:10:00,9.155,65.7,32.7,40.1,44.55,2,0.01755,442.9,0.5,0.02,10,7,14.5,15,7,2024-04-20
2024-04-20 07:20:00,10.915,62.3,37.65,46.15,51.65,2.55,0.0212,442.8,0.5,0.02,10,7,24.5,15,7,2024-04-20
2024-04-20 07:30:00,13.08,58.65,27.25,33.8,37.55,2.9,0.02285,424.95,0.5,0.02,10,7,34.5,15,7,2024-04-20
2024-04-20 07:40:00,15.105,54.95,23.45,28.9,32.15,2,0.02685,408.35,0.5,0.02,10,7,44.5,15,7,2024-04-20
2024-04-20 07:50:00,16.515,53.25,29.7,36.65,40.8,2.65,0.0261,407.85,0.5,0.02,10,7,54.5,15,7,2024-04-20
2024-04-20 08:00:00,18.045,52.05,24.05,29.7,32.9,0.8,0.0172,404.3,0.5,0.02,10,8,4.5,15,7,2024-04-20
2024-04-20 08:10:00,19.14,51.5,18.9,23.6,25.7,0,0.0167,402.35,0.5,0.02,10,8,14.5,15,7,2024-04-20
2024-04-20 08:20:00,19.335,53.1,15.35,18.65,20.6,0,0.01685,402.05,0.5,0.02,10,8,24.5,15,7,2024-04-20
2024-04-20 08:30:00,18.47,55.05,14.8,17.85,19.3,0,0.0164,402.4,0.5,0.02,10,8,34.5,15,7,2024-04-20
2024-04-20 08:40:00,18.39,55,14.4,17.4,18.4,0,0.01605,404.2,0.5,0.02,10,8,44.5,15,7,2024-04-20
2024-04-20 08:50:00,18.395,55.5,13,16.45,17.5,0,0.016,405.05,0.5,0.02,10,8,54.5,15,7,2024-04-20
2024-04-20 09:00:00,17.96,56,13.95,17.25,18.6,0,0.01595,405.35,0.5,0.02,10,9,4.5,15,7,2024-04-20
2024-04-20 09:10:00,17.785,56.3,14.35,17.45,18.95,0,0.016,418.1,0.5,0.02,10,9,14.5,15,7,2024-04-20
2024-04-20 09:20:00,18.165,55.75,13.9,17.1,18.2,0,0.01555,423,0.5,0.02,10,9,24.5,15,7,2024-04-20
2024-04-20 09:30:00,18.75,54.95,13.7,16.9,17.9,0,0.01555,420.95,0.5,0.02,10,9,34.5,15,7,2024-04-20
2024-04-20 09:40:00,19.04,54.15,11.9,15.55,16.55,0,0.01585,415.35,0.5,0.02,10,9,44.5,15,7,2024-04-20
2024-04-20 09:50:00,18.85,54.3,11.65,15.45,16.45,0,0.0158,421.3,0.5,0.02,10,9,54.5,15,7,2024-04-20
2024-04-20 10:00:00,18.63,54.4,13.85,17,18.05,0,0.0159,424.45,0.5,0.02,10,10,4.5,15,7,2024-04-20
2024-04-20 10:10:00,18.6,54.6,14.25,17.3,18.3,0,0.01575,427.35,0.5,0.02,10,10,14.5,15,7,2024-04-20
2024-04-20 10:20:00,18.635,54.25,12.55,15.95,16.95,0,0.0159,428,0.5,0.02,10,10,24.5,15,7,2024-04-20
2024-04-20 10:30:00,18.545,55,13.2,16.55,17.55,0,0.016,431.8,0.5,0.02,10,10,34.5,15,7,2024-04-20
2024-04-20 10:40:00,18.55,55,12.55,16.1,17.1,0,0.0159,432.5,0.5,0.02,10,10,44.5,15,7,2024-04-20
2024-04-20 10:50:00,18.495,55.05,11.9,15.7,16.7,0,0.01595,433.15,0.5,0.02,10,10,54.5,15,7,2024-04-20
2024-04-20 11:00:00,18.59,55.6,12.05,15.9,16.9,0,0.016,434.9,0.5,0.02,10,11,4.5,15,7,2024-04-20
2024-04-20 11:10:00,18.79,55.4,11.15,14.9,15.95,0,0.0159,436,0.5,0.02,10,11,14.5,15,7,2024-04-20
2024-04-20 11:20:00,18.985,55.1,12.95,16.4,17.55,0,0.01555,433.95,0.5,0.02,10,11,24.5,15,7,2024-04-20
2024-04-20 11:30:00,19.05,54.95,12.85,16.35,17.35,0,0.0158,435.55,0.5,0.02,10,11,34.5,15,7,2024-04-20
2024-04-20 11:40:00,19.1,54.05,12.45,16.1,17.1,0,0.01545,432.8,0.5,0.02,10,11,44.5,15,7,2024-04-20
2024-04-20 11:50:00,19.185,55,12.4,16.05,17.05,0,0.016,434.3,0.5,0.02,10,11,54.5,15,7,2024-04-20
2024-04-20 12:00:00,19,55.75,13.45,16.8,17.9,0,0.01615,438.3,0.5,0.02,10,12,4.5,15,7,2024-04-20
2024-04-20 12:10:00,19.12,56.05,13.95,17,18.1,0,0.0158,441.15,0.5,0.02,10,12,14.5,15,7,2024-04-20
2024-04-20 12:20:00,19.44,55.9,13.2,16.55,17.55,0,0.01585,432.95,0.5,0.02,10,12,24.5,15,7,2024-04-20
2024-04-20 12:30:00,19.505,56.35,10.95,14.45,15.6,0,0.0161,427.05,0.5,0.02,10,12,34.5,15,7,2024-04-20
2024-04-20 12:40:00,19.09,56.9,13.35,16.6,17.6,0,0.016,436.8,0.5,0.02,10,12,44.5,15,7,2024-04-20
2024-04-20 12:50:00,18.56,57.4,14.65,17.65,19.1,0,0.01585,431.95,0.5,0.02,10,12,54.5,15,7,2024-04-20
2024-04-20 13:00:00,18.625,57.9,13.8,16.95,17.95,0,0.0159,436.5,0.5,0.02,10,13,4.5,15,7,2024-04-20
2024-04-20 13:10:00,18.86,57.15,12.25,15.95,16.95,0,0.0157,440.5,0.5,0.02,10,13,14.5,15,7,2024-04-20
2024-04-20 13:20:00,19.04,56.7,14.3,17.45,18.75,0,0.0154,442.05,0.5,0.02,10,13,24.5,15,7,2024-04-20
