"intervalo_10min","Tª","Humedad","PM1.0","PM2.5","PM10.0","VOC","CH2O","CO2","CO","O3","NO2","Hora","Minuto","Segundo","modid","fecha"
2024-04-20,6.62307692307692,84.6153846153846,16.9230769230769,20.8461538461538,23.3846153846154,0,0.016,445.846153846154,0.5,0.02,10,0,6.23076923076923,16.1538461538462,1,2024-04-20
2024-04-20 00:10:00,6.35,84,18.3,23.25,25.25,0,0.016,444,0.5,0.02,10,0,14.5,15,1,2024-04-20
2024-04-20 00:20:00,6.06,84.85,17.7,22.7,24.7,0,0.016,445.5,0.5,0.02,10,0,24.5,15,1,2024-04-20
2024-04-20 00:30:00,5.845,85.4,17.7,22.6,24.65,0,0.016,447.8,0.5,0.02,10,0,34.5,15,1,2024-04-20
2024-04-20 00:40:00,5.805,85.4,22.65,27.9,30.6,0,0.01605,452.9,0.5,0.02,10,0,44.5,15,1,2024-04-20
2024-04-20 00:50:00,5.715,85.9,21.15,25.9,28.75,0,0.01605,454.55,0.5,0.02,10,0,54.5,15,1,2024-04-20
2024-04-20 01:00:00,5.695,86,18.85,23.8,25.8,0,0.016,454.9,0.5,0.02,10,1,4.5,15,1,2024-04-20
2024-04-20 01:10:00,5.7,86,19.75,24.5,26.7,0,0.016,460.6,0.5,0.02,10,1,14.5,15,1,2024-04-20
2024-04-20 01:20:00,5.7,86,18.1,23.05,25.05,0,0.016,462.5,0.5,0.02,10,1,24.5,15,1,2024-04-20
2024-04-20 01:30:00,5.51,85.8,18,22.9,24.95,0,0.0161,470,0.5,0.02,10,1,34.5,15,1,2024-04-20
2024-04-20 01:40:00,5.205,86.65,18.5,23.45,25.45,0,0.016,458.4,0.5,0.02,10,1,44.5,15,1,2024-04-20
2024-04-20 01:50:00,5,87.1,19,24,26,0,0.016,459.25,0.5,0.02,10,1,54.5,15,1,2024-04-20
2024-04-20 02:00:00,4.84,87.2,18.45,23.45,25.45,0,0.016,457,0.5,0.02,10,2,4.5,15,1,2024-04-20
2024-04-20 02:10:00,4.64,88.15,18.9,23.75,25.75,0,0.016,458.75,0.5,0.02,10,2,14.5,15,1,2024-04-20
2024-04-20 02:20:00,4.46,88.7,18.85,23.85,25.85,0,0.0161,464.45,0.5,0.02,10,2,24.5,15,1,2024-04-20
2024-04-20 02:30:00,4.405,89.6,19,24,26,0.2,0.017,466.6,0.5,0.02,10,2,34.5,15,1,2024-04-20
2024-04-20 02:40:00,4.415,88.3,18.6,23.6,25.6,0,0.01675,474.85,0.5,0.02,10,2,44.5,15,1,2024-04-20
2024-04-20 02:50:00,4.065,88.7,19.2,24.2,26.2,0,0.01705,470.6,0.5,0.02,10,2,54.5,15,1,2024-04-20
2024-04-20 03:00:00,3.965,90,18.75,23.75,25.75,0,0.01745,470.3,0.5,0.02,10,3,4.5,15,1,2024-04-20
2024-04-20 03:10:00,3.975,90.1,18.8,23.8,25.8,0,0.01735,477.65,0.5,0.02,10,3,14.5,15,1,2024-04-20
2024-04-20 03:20:00,3.855,89.15,19.75,24.65,26.65,0,0.0169,484.15,0.5,0.02,10,3,24.5,15,1,2024-04-20
2024-04-20 03:30:00,3.75,89.95,20.25,24.95,27,0,0.0169,479.2,0.5,0.02,10,3,34.5,15,1,2024-04-20
