"intervalo_10min","Tª","Humedad","PM1.0","PM2.5","PM10.0","VOC","CH2O","CO2","CO","O3","NO2","Hora","Minuto","Segundo","modid","fecha"
2024-04-20,7.96153846153846,89.7692307692308,17.7692307692308,22.6153846153846,24.6923076923077,0,0.015,422.923076923077,0.5,0.02,10,0,6.23076923076923,16.1538461538462,2,2024-04-20
2024-04-20 00:10:00,7.75,89,19.75,24.55,26.55,0,0.015,423.25,0.5,0.02,10,0,14.5,15,2,2024-04-20
2024-04-20 00:20:00,7.5,89.8,19.55,24.25,26.3,0,0.015,422.4,0.5,0.02,10,0,24.5,15,2,2024-04-20
2024-04-20 00:30:00,7.325,90,17.9,22.85,24.85,0,0.0151,420.9,0.5,0.02,10,0,34.5,15,2,2024-04-20
2024-04-20 00:40:00,7.255,90.2,23.15,28.75,31.7,0,0.01585,423.35,0.5,0.02,10,0,44.5,15,2,2024-04-20
2024-04-20 00:50:00,7.175,90.9,23,28,30.7,0,0.016,424.15,0.5,0.02,10,0,54.5,15,2,2024-04-20
2024-04-20 01:00:00,7.1,91,20.25,25.1,27.2,0,0.0158,426.35,0.5,0.02,10,1,4.5,15,2,2024-04-20
2024-04-20 01:10:00,7.115,91,20.6,25.4,27.8,0,0.01555,429.2,0.5,0.02,10,1,14.5,15,2,2024-04-20
2024-04-20 01:20:00,7.115,91.2,19.75,24.55,26.65,0,0.01515,430.5,0.5,0.02,10,1,24.5,15,2,2024-04-20
2024-04-20 01:30:00,7,90.55,18.95,23.95,25.95,0,0.016,440.05,0.5,0.02,10,1,34.5,15,2,2024-04-20
2024-04-20 01:40:00,6.725,91,18.95,23.95,25.95,0,0.016,434.9,0.5,0.02,10,1,44.5,15,2,2024-04-20
2024-04-20 01:50:00,6.535,91.7,20.15,24.75,26.75,0,0.01595,430.8,0.5,0.02,10,1,54.5,15,2,2024-04-20
2024-04-20 02:00:00,6.33,91.8,19.3,24.25,26.25,0,0.0157,424.9,0.5,0.02,10,2,4.5,15,2,2024-04-20
2024-04-20 02:10:00,6.1,92.25,19.75,24.55,26.55,0,0.016,427.25,0.5,0.02,10,2,14.5,15,2,2024-04-20
2024-04-20 02:20:00,5.86,92.7,19.6,24.55,26.55,0,0.016,432,0.5,0.02,10,2,24.5,15,2,2024-04-20
2024-04-20 02:30:00,5.79,93.45,19.5,24.3,26.35,0.15,0.017,432,0.5,0.02,10,2,34.5,15,2,2024-04-20
2024-04-20 02:40:00,5.76,92.45,18.8,23.8,25.8,0,0.01655,438.35,0.5,0.02,10,2,44.5,15,2,2024-04-20
2024-04-20 02:50:00,5.485,92.35,19.55,24.4,26.4,0,0.0167,435.9,0.5,0.02,10,2,54.5,15,2,2024-04-20
2024-04-20 03:00:00,5.36,93.65,19.7,24.5,26.55,0,0.0177,432.15,0.5,0.02,10,3,4.5,15,2,2024-04-20
2024-04-20 03:10:00,5.32,93.85,20.1,24.85,26.85,0,0.01735,435.95,0.5,0.02,10,3,14.5,15,2,2024-04-20
2024-04-20 03:20:00,5.275,92.95,20.05,24.7,26.7,0,0.01665,442.35,0.5,0.02,10,3,24.5,15,2,2024-04-20
2024-04-20 03:30:00,5.17,93.85,20.1,24.95,26.95,0,0.0164,437.65,0.5,0.02,10,3,34.5,15,2,2024-04-20
2024-04-20 03:40:00,5.125,92.2,20.05,24.8,26.9,0,0.01575,424.35,0.5,0.02,10,3,44.5,15,2,2024-04-20
2024-04-20 03:50:00,5.065,92,22.75,27.85,30.85,0,0.01595,422.1,0.5,0.02,10,3,54.5,15,2,2024-04-20
2024-04-20 04:00:00,4.96,92,23.6,29.15,32.5,0,0.01575,419.3,0.5,0.02,10,4,4.5,15,2,2024-04-20
2024-04-20 04:10:00,4.84,92,23.75,29.5,32.7,0,0.01585,419.7,0.5,0.02,10,4,14.5,15,2,2024-04-20
