"intervalo_10min","Tª","Humedad","PM1.0","PM2.5","PM10.0","VOC","CH2O","CO2","CO","O3","NO2","Hora","Minuto","Segundo","modid","fecha"
2024-04-20,8.50769230769231,74.1538461538462,13.6923076923077,16.7692307692308,17.7692307692308,0,0.0215384615384615,463.307692307692,0.5,0.02,10,0,6.23076923076923,16.1538461538462,3,2024-04-20
2024-04-20 00:10:00,8.31,74,15.7,18.7,21.15,0,0.02045,463.9,0.5,0.02,10,0,14.5,15,3,2024-04-20
2024-04-20 00:20:00,8.08,74.5,15.55,18.55,20.7,0,0.02105,465.75,0.5,0.02,10,0,24.5,15,3,2024-04-20
2024-04-20 00:30:00,7.875,75,16.35,19.6,22.25,0,0.0211,466.1,0.5,0.02,10,0,34.5,15,3,2024-04-20
2024-04-20 00:40:00,7.78,75,17.9,22.35,24.6,0,0.0214,468.2,0.5,0.02,10,0,44.5,15,3,2024-04-20
2024-04-20 00:50:00,7.685,75.6,18.25,22.85,25.05,0,0.02175,470.65,0.5,0.02,10,0,54.5,15,3,2024-04-20
2024-04-20 01:00:00,7.605,76,14.45,17.65,19.05,0,0.02115,470.9,0.5,0.02,10,1,4.5,15,3,2024-04-20
2024-04-20 01:10:00,7.6,75.9,15.25,18.25,20.1,0,0.021,475.3,0.5,0.02,10,1,14.5,15,3,2024-04-20
2024-04-20 01:20:00,7.6,75.75,15.3,18.35,20.35,0,0.0205,476.8,0.5,0.02,10,1,24.5,15,3,2024-04-20
2024-04-20 01:30:00,7.5,75.1,16.15,19.2,21.95,0,0.02025,488.5,0.5,0.02,10,1,34.5,15,3,2024-04-20
2024-04-20 01:40:00,7.285,75.65,15.6,18.95,21,0,0.0208,482.35,0.5,0.02,10,1,44.5,15,3,2024-04-20
2024-04-20 01:50:00,7.085,76,16.15,19.25,21.75,0,0.021,480.3,0.5,0.02,10,1,54.5,15,3,2024-04-20
2024-04-20 02:00:00,6.855,76.4,15.75,18.75,21.25,0,0.021,476,0.5,0.02,10,2,4.5,15,3,2024-04-20
2024-04-20 02:10:00,6.6,76.8,16.65,20,22.8,0,0.02155,477.25,0.5,0.02,10,2,14.5,15,3,2024-04-20
2024-04-20 02:20:00,6.39,77.2,16,19.1,21.65,0,0.0213,482.6,0.5,0.02,10,2,24.5,15,3,2024-04-20
2024-04-20 02:30:00,6.3,78.2,15.75,18.85,21.1,0,0.0249,482.15,0.5,0.02,10,2,34.5,15,3,2024-04-20
2024-04-20 02:40:00,6.23,77.2,15.85,18.85,21.35,0,0.0229,486.8,0.5,0.02,10,2,44.5,15,3,2024-04-20
2024-04-20 02:50:00,6.02,77.15,16.75,20.1,22.9,0,0.02285,486.6,0.5,0.02,10,2,54.5,15,3,2024-04-20
2024-04-20 03:00:00,5.885,78.15,16.3,19.6,22.2,0,0.0269,482.95,0.5,0.02,10,3,4.5,15,3,2024-04-20
2024-04-20 03:10:00,5.825,78.35,16.1,19.25,21.7,0,0.02635,487.3,0.5,0.02,10,3,14.5,15,3,2024-04-20
2024-04-20 03:20:00,5.775,77.75,16.45,19.7,22.45,0,0.02255,493.35,0.5,0.02,10,3,24.5,15,3,2024-04-20
2024-04-20 03:30:00,5.67,78.25,16.75,20.15,22.8,0,0.02285,487.95,0.5,0.02,10,3,34.5,15,3,2024-04-20
2024-04-20 03:40:00,5.59,77.15,16.75,20.2,22.95,0,0.0188,476.15,0.5,0.02,10,3,44.5,15,3,2024-04-20
2024-04-20 03:50:00,5.51,77,17.35,21.45,23.85,0,0.018,472.25,0.5,0.02,10,3,54.5,15,3,2024-04-20
2024-04-20 04:00:00,5.41,77,18.6,23.5,25.5,0,0.018,469.6,0.5,0.02,10,4,4.5,15,3,2024-04-20
2024-04-20 04:10:00,5.295,77,19.25,24,26,0,0.0189,472.1,0.5,0.02,10,4,14.5,15,3,2024-04-20
2024-04-20 04:20:00,5.22,77.75,19.8,24.6,26.65,0,0.0198,470.7,0.5,0.02,10,4,24.5,15,3,2024-04-20
2024-04-20 04:30:00,5.155,77.85,19.95,24.65,26.65,0,0.01985,472.65,0.5,0.02,10,4,34.5,15,3,2024-04-20
2024-04-20 04:40:00,5.105,77.95,19.05,23.95,25.95,0,0.0198,474.2,0.5,0.02,10,4,44.5,15,3,2024-04-20
2024-04-20 04:50:00,5,78,18.85,23.85,25.85,0,0.0202,475.45,0.5,0.02,10,4,54.5,15,3,2024-04-20
2024-04-20 05:00:00,4.905,77.9,18.5,23.5,25.5,0,0.0207,472.85,0.5,0.02,10,5,4.5,15,3,2024-04-20
