"intervalo_10min","Tª","Humedad","PM1.0","PM2.5","PM10.0","VOC","CH2O","CO2","CO","O3","NO2","Hora","Minuto","Segundo","modid","fecha"
2024-04-20,9.34615384615385,71,12.3846153846154,16,17,0,0.016,402.461538461538,0.5,0.02,10,0,6.23076923076923,16.1538461538462,6,2024-04-20
2024-04-20 00:10:00,9.12,70.8,15,18,19.85,0,0.016,402.1,0.5,0.02,10,0,14.5,15,6,2024-04-20
2024-04-20 00:20:00,8.855,71,15.55,18.85,20.7,0,0.016,402.05,0.5,0.02,10,0,24.5,15,6,2024-04-20
2024-04-20 00:30:00,8.66,71.45,13.55,16.65,18.2,0,0.01605,402.4,0.5,0.02,10,0,34.5,15,6,2024-04-20
2024-04-20 00:40:00,8.53,71.65,17.5,21.8,23.95,0,0.01655,402.2,0.5,0.02,7.055,0,44.5,15,6,2024-04-20
2024-04-20 00:50:00,8.435,72,18.35,22.9,25.1,0,0.01665,402.1,0.5,0.02,6.713,0,54.5,15,6,2024-04-20
2024-04-20 01:00:00,8.365,72.05,16.55,19.8,22.65,0,0.0161,402.25,0.5,0.02,8.762,1,4.5,15,6,2024-04-20
2024-04-20 01:10:00,8.325,72.5,17,21.05,23.5,0,0.016,402.35,0.5,0.02,8.732,1,14.5,15,6,2024-04-20
2024-04-20 01:20:00,8.305,72.5,12.05,15.45,16.55,0,0.016,401.85,0.5,0.02,10,1,24.5,15,6,2024-04-20
2024-04-20 01:30:00,8.17,72,14.2,17.35,19.25,0,0.016,402.15,0.5,0.02,5.231,1,34.5,15,6,2024-04-20
2024-04-20 01:40:00,7.98,72.55,13.6,16.8,18,0,0.01605,401.8,0.5,0.02,1.97,1,44.5,15,6,2024-04-20
2024-04-20 01:50:00,7.825,73,16.4,20.05,22.35,0,0.01615,401.65,0.5,0.02,1.736,1,54.5,15,6,2024-04-20
2024-04-20 02:00:00,7.65,73,14.95,18.15,19.75,0,0.0161,402.65,0.5,0.02,3.554,2,4.5,15,6,2024-04-20
2024-04-20 02:10:00,7.455,73.55,15.6,18.7,20.8,0,0.0165,402.05,0.5,0.02,4.565,2,14.5,15,6,2024-04-20
2024-04-20 02:20:00,7.275,73.85,13.85,17.4,19,0,0.0165,402.1,0.5,0.02,3.455,2,24.5,15,6,2024-04-20
2024-04-20 02:30:00,7.175,74.55,17.45,21.25,23.85,0.25,0.0176,402.6,0.5,0.02,5.855,2,34.5,15,6,2024-04-20
2024-04-20 02:40:00,7.11,73.95,15.7,18.8,20.85,0,0.01665,401.9,0.5,0.02,6.197,2,44.5,15,6,2024-04-20
2024-04-20 02:50:00,6.84,73.75,15.9,18.9,21.2,0,0.01745,401.9,0.5,0.02,4.26,2,54.5,15,6,2024-04-20
2024-04-20 03:00:00,6.75,75,17.8,21.6,23.95,0,0.018,401.85,0.5,0.02,3.188,3,4.5,15,6,2024-04-20
2024-04-20 03:10:00,6.715,75,15.25,18.25,20.15,0,0.0178,401.85,0.5,0.02,1.787,3,14.5,15,6,2024-04-20
